name,energy,moisuture,protein,lipid,carbohydrate,ash,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,retinol,carotene,inRetinolAmount,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folicAcid,pantothenicAcid,vitaminC,saturatedFattyAcid,monounsaturatedFattyAcid,polyunsaturatedFattyAcid,cholesterol,waterSolubleFiberContaining,waterUnsolubleFiberContaining,totalFiberContaining,solt
キャベツ,0.23,0.927,0.013,0.002,0.052,0.005,0.05,2,0.43,0.14,0.27,0.003,0.002,0.0002,0.0015,0,0.5,0.08,0,0.001,0.78,0.0004,0.0003,0.002,0.0011,0,0.78,0.0022,0.41,0.0002,0.0001,0.0002,0,0.004,0.014,0.018,0
きゃべつ,0.23,0.927,0.013,0.002,0.052,0.005,0.05,2,0.43,0.14,0.27,0.003,0.002,0.0002,0.0015,0,0.5,0.08,0,0.001,0.78,0.0004,0.0003,0.002,0.0011,0,0.78,0.0022,0.41,0.0002,0.0001,0.0002,0,0.004,0.014,0.018,0
グリーンボール,0.2,0.934,0.014,0.001,0.043,0.007,0.04,2.7,0.58,0.17,0.41,0.004,0.002,0.0003,0.0018,0,1.1,0.19,0,0.002,0.79,0.0005,0.0004,0.004,0.0013,0,0.53,0.0031,0.47,0,0,0,0,0.003,0.013,0.016,0
レッドキャベツ,0.3,0.904,0.02,0.001,0.067,0.008,0.04,3.1,0.4,0.13,0.43,0.005,0.003,0.0004,0.002,0,0.36,0.06,0,0.001,0.29,0.0007,0.0003,0.003,0.0019,0,0.58,0.0035,0.68,0,0,0,0,0.006,0.022,0.028,0
きゅうり,0.14,0.954,0.01,0.001,0.03,0.005,0.01,2,0.26,0.15,0.36,0.003,0.002,0.0011,0.0007,0,3.3,0.55,0,0.003,0.34,0.0003,0.0003,0.002,0.0005,0,0.25,0.0033,0.14,0.0001,0,0.0001,0,0.002,0.009,0.011,0
きゅうり漬,0.16,0.921,0.01,0.001,0.037,0.031,10,2.2,0.26,0.15,0.38,0.002,0.002,0.0007,0.0007,0,2.1,0.36,0,0.003,0.46,0.0002,0.0003,0.002,0.0006,0,0.28,0.0034,0.11,0,0,0,0,0.003,0.01,0.013,0.025
つけもの,0.16,0.921,0.01,0.001,0.037,0.031,10,2.2,0.26,0.15,0.38,0.002,0.002,0.0007,0.0007,0,2.1,0.36,0,0.003,0.46,0.0002,0.0003,0.002,0.0006,0,0.28,0.0034,0.11,0,0,0,0,0.003,0.01,0.013,0.025
漬け物,0.16,0.921,0.01,0.001,0.037,0.031,10,2.2,0.26,0.15,0.38,0.002,0.002,0.0007,0.0007,0,2.1,0.36,0,0.003,0.46,0.0002,0.0003,0.002,0.0006,0,0.28,0.0034,0.11,0,0,0,0,0.003,0.01,0.013,0.025
きゅうりしょうゆ漬,0.5,0.81,0.032,0.004,0.108,0.046,16,0.79,0.39,0.21,0.29,0.013,0.002,0.0008,0.0016,0,5.8,0.97,0,0.006,0.83,0.0003,0.0002,0.001,0.0001,0,0.05,0.0012,0.08,0,0,0,0,0.007,0.027,0.034,0.041
きゅうりぬか漬,0.27,0.856,0.015,0.001,0.062,0.066,21,6.1,0.22,0.48,0.88,0.003,0.002,0.0011,0.0014,0,2.1,0.36,0,0.003,1.1,0.0026,0.0005,0.016,0.002,0,0.22,0.0093,0.22,0.0001,0,0.0001,0,0.004,0.011,0.015,0.053
ピクルス,0.67,0.8,0.003,0.001,0.183,0.013,4.4,0.18,0.25,0.06,0.16,0.003,0.001,0.0004,0,0,0.53,0.09,0,0.001,0.32,0,0.0001,0.001,0.0004,0,0.02,0,0,0,0,0,0,0.003,0.014,0.017,0.011
ぎょうじゃにんにく,0.34,0.888,0.035,0.002,0.066,0.009,0.02,3.4,0.29,0.22,0.3,0.014,0.004,0.0016,0,0,20,3.4,0,0.004,3.2,0.001,0.0016,0.008,0.0015,0,0.85,0.0039,0.59,0,0,0,0,0.005,0.028,0.033,0
きょうな,0.22,0.918,0.02,0.001,0.047,0.011,0.28,3.7,2,0.25,0.64,0.02,0.002,0.0005,0.0031,0,17,2.8,0,0.013,1.2,0.0004,0.0008,0.004,0.001,0,0.9,0.0029,0.19,0,0,0,0,0.008,0.028,0.036,0.001
きょうな漬,0.27,0.882,0.02,0.001,0.059,0.034,9,4.5,2,0.3,0.6,0.013,0.003,0.0006,0.0025,0,11,1.8,0,0.011,1.3,0.0007,0.0015,0.005,0.0019,0,1.3,0.0039,0.47,0,0,0,0,0.005,0.03,0.035,0.023
キンサイ,0.19,0.936,0.011,0.004,0.035,0.01,0.27,3.2,1.4,0.24,0.56,0.005,0.005,0.0002,0.0042,0,15,2.5,0,0.012,2.1,0.0003,0.0006,0.004,0.0005,0,0.31,0.0034,0.07,0,0,0,0,0.006,0.023,0.029,0.001
クレソン,0.15,0.941,0.021,0.001,0.025,0.011,0.23,3.3,1.1,0.13,0.57,0.011,0.002,0.0005,0,0,27,4.5,0,0.016,1.9,0.001,0.002,0.005,0.0013,0,1.5,0.003,0.26,0,0,0,0,0.002,0.023,0.025,0.001
くわい,1.28,0.65,0.062,0.001,0.272,0.015,0.03,5.5,0.05,0.32,1.4,0.008,0.021,0.0059,0.0012,0,0,0,0,0.031,0.01,0.001,0.0006,0.016,0.003,0,1.2,0.0075,0,0,0,0,0,0.008,0.02,0.028,0
ケール,0.28,0.902,0.021,0.004,0.056,0.015,0.09,4.2,2.2,0.44,0.45,0.008,0.003,0.0005,0.0055,0,29,4.8,0,0.024,2.1,0.0006,0.0015,0.009,0.0016,0,1.2,0.0031,0.81,0.0003,0.0001,0.0007,0,0.005,0.032,0.037,0
こごみ,0.28,0.907,0.03,0.002,0.053,0.008,0.01,3.5,0.26,0.31,0.69,0.006,0.007,0.0026,0.0033,0,12,2.1,0,0.018,1.2,0,0.0012,0.029,0.0003,0,1.5,0.006,0.27,0,0,0,0,0.005,0.047,0.052,0
ごぼう,0.58,0.839,0.015,0.002,0.137,0.006,0.11,2.1,0.48,0.4,0.46,0.007,0.007,0.0016,0.0016,0,0,0,0,0.006,0,0.0003,0.0002,0.002,0.0009,0,0.61,0.0019,0.01,0,0,0,0,0.027,0.034,0.061,0
こまつな,0.15,0.94,0.016,0.001,0.03,0.01,0.14,1.4,1.5,0.14,0.46,0.021,0.003,0.0007,0.0017,0,31,5.2,0,0.015,3.2,0.0004,0.0006,0.003,0.0006,0,0.86,0.0023,0.21,0.0001,0,0.0004,0,0.006,0.018,0.024,0
ザーサイ,0.23,0.776,0.025,0.001,0.046,0.15,54,6.8,1.4,0.19,0.67,0.029,0.004,0.001,0.0034,0,0.11,0.02,0,0.002,0.24,0.0004,0.0007,0.004,0.0009,0,0.14,0.0035,0,0,0,0,0,0.009,0.037,0.046,0.137
さんとうさい,0.16,0.943,0.014,0.003,0.029,0.009,0.09,2.4,1.3,0.13,0.3,0.006,0.004,0.0004,0.002,0,15,2.5,0,0.009,1.4,0.0002,0.0005,0.003,0.0005,0,0.74,0.0012,0.22,0,0,0,0,0.007,0.018,0.025,0
